dataset,algorithm,mu,objective,relative_objective_gap,relative_error,nonzero_count,support_precision,support_recall,support_f1,validation_mse,test_mse,cpu_time,notes
diabetes,Subgradient,611.2354012242214,418795.4693087079,,,10,,,,3041.0900946571487,3310.9551690839626,0.0054634580155834556,
diabetes,ISTA,611.2354012242214,418589.7498082068,,,7,,,,3036.353660197193,3315.4701472759657,0.0008971249917522073,
diabetes,FISTA,611.2354012242214,418589.73914625746,,,7,,,,3036.4004580997953,3315.451473657245,0.0006132090929895639,
diabetes,CD,611.2354012242214,418589.73552884,,,7,,,,3036.6190039284397,3315.3929772506954,0.0007650419138371944,
diabetes,ADMM,611.2354012242214,418589.7345029448,,,7,,,,3036.5639888340984,3315.4047776977363,0.009019165998324752,
